created_at,text,RT
2021/12/29_07:02:16,ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,1
2021/12/28_23:21:13,『ツイートRT最終日🔥お願いします🙏』 -ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,1
2021/12/28_15:13:45,RT @36_gt_aeug: ✨収益化記念感謝のプレゼント企画✨【参加方法】フォロー&amp;RTYouTubeチャンネル登録Discordの参加【開催日】１２月３０日詳細はDiscordに書いております何方でも参加ＯＫです参加お待ちしております https:…,41
2021/12/28_15:13:24,RT @yume_2003: フォローRTして頂いた方速攻でお返しします！🌟お願い#フォロー#このツイートをRT☄️お返し#フォロバ#固定ツイートをRT#フォローバック#固定RT#相互フォロー#相互フォロー募集#拡散希望#RT企画#RT希望,28
2021/12/28_15:11:05,RT @dieeet_smart: 13日で730件 リツイート実績💕12時間 以内にフォロバ💯#拡散希望 です💕🍒お願い🍒#フォロー#固定ツイートをRT 🍓お礼🍓#フォロバ#固定ツイートRT個ツイRTして頂けたら、必ずお返しします💯再RTもしますよー…,77
2021/12/28_02:13:32,雰囲気いいかんでぃシャロンめんばー！リツイートお願いしたいです！！！#ミクチャ #MODECON #キャンコレ #キャンパスコレクション #拡散希望RTお願いします https://t.co/VCk8OUJmtQ,34
2021/12/28_02:11:20,この絵もすきだっ！最高のツーショット！RT審査28日23:59まで！！すべてのリツイートお願いしたいです🙏💦💦#ミクチャ #MODECON #ツーショット #拡散RT希望 https://t.co/pmEWd6C9DV,34
2021/12/28_02:09:07,ヤンキーつっちー。昭和のアイドル風な髪でしたね。ターンして全部崩れたけどもこちらもRT対象です！！！#ミクチャ #MODECON #アイドル #昭和 #拡散RT希望 https://t.co/jaXOFEEYCx,36
2021/12/28_02:06:23,この絵が好き。最高のメンバーで歩けました。こちらもRT審査対象です。ぜひリツイートお願いします！#モデコン #MODECON #ファッション #拡散RT希望 https://t.co/PgZauL0xiJ,34
2021/12/28_02:01:06,ここは森ですか！！いいえ、神社のまわりの木です。リツイート審査最終日です！28日23:59までのRTが加算されます！！！すべてのツイートが審査対象でリツイート数×30ptになります！RTお願いします！#ミクチャ… https://t.co/z7gUm8xLaW,36
2021/12/27_22:51:22,『最近雪ヤバくね配信』 -ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,3
2021/12/27_22:44:27,『おみそしるタイム』 - アベミウ🕊🤍ちいかわさんがLIVE配信中だよ！みんなで配信を盛り上げよう！ #ミクチャ https://t.co/1R2zmiOmf7,0
2021/12/27_22:43:36,『バズーカ集めてます✨初見🙆‍♀️』 - RIRA(りら)🥒#GAAさんがLIVE配信中だよ！みんなで配信を盛り上げよう！ #ミクチャ https://t.co/FLTeuO8k4v,0
2021/12/27_22:07:24,キラキラしてます✨#ミクチャ #MODECON #イルミネーション #拡散希望RT https://t.co/G4KSOvxgg9,36
2021/12/27_22:05:59,CHÄLON集合#ミクチャ #MODECON #CHÄLON #拡散希望RT https://t.co/UOok0gPOoW,33
2021/12/27_22:03:48,こんなんのもどうでしょう。懐かしい写真だっ！#ミクチャ #MODECON #リツイート #変顔 #拡散RT希望 https://t.co/9Bb3U0jM7C,36
2021/12/27_22:02:53,こっちをトプ画にしようかも迷いましたああ#ミクチャ #MODECON #撮影モデル #拡散RT希望 https://t.co/snKBLyrz7H,32
2021/12/27_02:56:45,MODECON札幌エントリー中のつっちーです！投票数×20ptTwitterのRT数×30ptになります。応援してくださる方と一緒にファイナルいきます！ついてきてください！↓ここから１日１回投票できます！… https://t.co/soe0ht41ME,51
2021/12/26_23:17:48,プロ画新しくしてみましたっ！自分のツイートすべてリツイート審査対象になってます！なんとかお願いします🙏#ミクチャ #MODECON #拡散希望RT https://t.co/pk9LNKUEux,38
2021/12/26_11:42:22,人気枠のったときのスクショとってくれました！うれちい#ミクチャ #MODECON #リツイートお願いします #拡散RT希望 https://t.co/VkVgAnY0cf,31
2021/12/25_23:01:08,『幸せお届けいたします☀️』 -ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,2
2021/12/25_21:48:01,12月25日(土) 23:00から、ミクチャライブを配信予定！ #ミクチャ https://t.co/2h9FVpHjUv,2
2021/12/25_02:12:49,サンタ配信でした！！！今日もきてくださりありがとうございましたっ！！Twitterの投稿のRTもお願いします🙏ひとつのリツイートにつき、20ptになります。ほんとにお願いします！#ミクチャ #MODECON… https://t.co/U8D7IMQNOo,41
2021/12/24_23:29:19,『サンタさんです🎅』 -ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,1
2021/12/24_23:08:48,『最終日🔥ｹﾞﾘﾗも勝ちたい』 - Akari👴🍎ネクスタ🔥最終日🔥ｹﾞﾘﾗさんがLIVE配信中だよ！みんなで配信を盛り上げよう！ #ミクチャ https://t.co/tsCuIhQHtq,0
2021/12/24_22:52:12,12月24日(金) 23:30から、ミクチャライブを配信予定！ #ミクチャ https://t.co/2h9FVppaGn,3
2021/12/24_19:33:52,過去写真picシリーズ柄シャツめちゃくちゃ好きなんですよねえ。#MODECON #ミクチャ #拡散希望RT #柄シャツ #ファッション https://t.co/kdS4LFbVRH,40
2021/12/24_17:28:55,『とりあえずメリクリ🔥』 -ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,1
2021/12/24_14:31:10,これ好きリツイートお願いします🔥#ミクチャ #MODECON #キャンパスコレクション #キャンコレ #ランウェイ #拡散希望RT #リツイート https://t.co/42meJ7SpB8,40
2021/12/24_08:58:46,いい笑顔！！！美人に囲まれて幸せなつっちーの図リツイート数×30ptになるので是非RTお願いします！！#ミクチャ #MODECON #美人 #可愛い #キャンコレ #キャンパスコレクション #拡散RT希望 https://t.co/p0ZsBGyWWR,42
2021/12/23_22:11:39,巨人いた、、#ミクチャ #MODECON #進撃の巨人 #巨人 #でかい #ホラー #拡散RT希望 https://t.co/FoZWEU4O7t,39
2021/12/23_14:14:19,夜景。秋田の夜は綺麗です✨#ミクチャ #MODECON #夜景 #景色 #写真好きな人と繋がりたい #拡散希望RT https://t.co/mRHCSrMCt4,41
2021/12/23_00:52:33,『朝まで頑張ってみる配信🔥』 -ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,0
2021/12/23_00:30:53,12月23日(木) 1:00から、ミクチャライブを配信予定！ #ミクチャ https://t.co/2h9FVpHjUv,0
2021/12/22_07:54:56,ブランド選定のときの私懐かしい。#ミクチャ #MODECON #キャンパスコレクション #キャンコレ #お洒落好きな人RT #拡散RT希望 https://t.co/xKYVaWNm35,41
2021/12/22_03:09:48,プ🍮#ミクチャ #MODECON #プリン #スイーツ #ご褒美 #拡散RT希望 https://t.co/hnQxcX9OBG,40
2021/12/21_23:25:20,#ミクチャ #MODECON #ラーメン #らーめん #ラーメン好きな人と繋がりたい #山岡家 ラーメン食べたい https://t.co/JzjvsXLYgw,41
2021/12/21_19:15:01,イルミネーション点灯みなさんは一緒にみる人はいますか？つっちーはいません🔥#イルミネーションポートレート#イルミネーション2021#ミクチャ #MODECON #くりぼっち #拡散希望RT https://t.co/sABZ7922Dg,40
2021/12/21_03:37:15,RT @Eimiya_i7: #RT拡散希望 👑🐻‍❄️モデコン「THE KING」ファイナル僕の初イベ最後の戦いです。この想いが1人でも多くの人に届くように。残り1ヶ月走り続けます。RTのご協力お願い致します！#宮Time #THEKING #ミクチャ#1…,2295
2021/12/20_16:48:35,ロングコート！！たまにはビシッときめるうう#MODECON #ミクチャ #ロングコート #今日のコーデ #お洒落 #拡散希望RT おれのツイート全部リツイート審査対象です！この投稿もです！いいねだけでなくRTもお願… https://t.co/ecX8HCYDDY,41
2021/12/20_12:56:43,カルボナーラつっちー作#MODECON #ミクチャ #美味しそうならRT #カルボナーラ #料理好きな人と繋がりたい #料理男子 #拡散RT希望 おれのツイート全部RT審査対象です！いいねだけではptは加算されません！… https://t.co/pYfNd5BoBc,44
2021/12/20_08:18:12,あったかーーーい。冬の寒さに染み込むこの旨さ。つっちーあんこが大好きです。角館にいったら是非たべてねん！#MODECON #ミクチャ #角館 #あんこ #小豆 #拡散RT希望 #美味しい #甘いもの食べよ… https://t.co/ArQTEaAMmt,39
2021/12/19_18:05:32,写真腐るほどあるのオモロイこれはキャンコレのオープニングステージでの１枚。どこか儚さを感じさせる１枚ですね(しらんけど)おれの投稿ぜーーんぶリツイート審査対象です！いいなって思ったらRT協力お願いしたいです🙏… https://t.co/hH3aurkMXl,42
2021/12/19_12:01:37,つっちー作オムライス#MODECON #ミクチャ 美味しそうだなって思ったら是非リツイートお願いします！！！#オムライス #料理好きな人と繋がりたい #料理 #美味しい #拡散希望RT https://t.co/ANjFsImvvR,44
2021/12/19_02:34:56,岩になりましたつっちーです#MODECON #ミクチャこの二つのタグが目印です！！というより私の全投稿がリツイート対象です！このツイートもです！リツイート×30ptになっているのでリツイートお願いします！… https://t.co/cv9VCCOqG9,39
2021/12/18_22:42:42,ラインのトプ画です#ミクチャ #MODECON#LINE #プロフィール #横顔 リツイートたくさんのご協力ありがとうございます！見たい写真とかあったらおしえてください！！ https://t.co/k3ak8zK7kz,38
2021/12/18_16:10:35,これ好き#ミクチャ #MODECON #リツイートお願いします リツイート数×30ptになります！モデコンファイナル目指して頑張ってるので応援お願いします！！#ランウェイ #キャンパスコレクション https://t.co/4VJ8TC4LEn,39
2021/12/18_16:06:56,来週クリスマスってまじのすけ？#ミクチャ #MODECON#クリスマス #イルミネーション #イルミネーションポートレート https://t.co/emrXDrkiR5,35
2021/12/17_12:45:25,これエモい#MODECON #ミクチャ→このタグがついてるツイートすべてリツイート審査対象になります！写真いいなって思ったら是非！RTおねがいします！！#リツイート #拡散希望 #拡散希望RT https://t.co/4ge5QoicPW,35
2021/12/17_12:43:07,お気に入り！！！昔と今とで顔変わってるの面白いね人前に出たりすると意識がかわるのかしら！#MODECON #ミクチャ #顔出し #メンズ #被写体になります https://t.co/zdyB7BdOXM,36
2021/12/16_14:40:23,もこもこブルゾンモデコン札幌では、リツイート×30ptになります。この投稿も含まれます🔥#MODECON #ミクチャ #お洒落好きな人RT #モコモコ #もこもこ https://t.co/KYqWbYmO9s,41
2021/12/15_23:54:08,この黒のセットアップ最高でした。#ミクチャ #MODECON #セットアップ #chalon #メンズファッション #いいね返し https://t.co/CKviGi3Eli,44
2021/12/15_23:30:41,背景がいい味だしてるうううおれの投稿すべて、リツイート数×30ptになりますこの投稿もです！！！協力お願いします🙏#ミクチャ #MODECON #お洒落さんと繋がりたい #いいね返し #ファッション… https://t.co/dWgEq6Qx6t,37
2021/12/15_12:57:01,捨てられた犬感#MODECON #ミクチャ #相互RT #相互リツイート #ファッション #写真好きな人と繋がりたい https://t.co/RgqJJ8QyWE,46
2021/12/15_11:28:56,RT @mizuki_sjg: Ms.Princessに出場中の美月です！👑11/10から始まります、Dress StageではこちらがRT対象となります！ファイナルも感謝の気持ちを忘れず、全力で楽しみます！！#ミスプリンセス#ミクチャ毎日投票↓…,1512
2021/12/15_01:20:49,過去写真pic柄シャツめちゃくちゃ好きなんよねえ横顔だと盛れる#MODECON #ミクチャ #お洒落 #今日のコーデ #メンズファッション #写真好きな人と繋がりたい #写真好きな人と繋がりたい #被写体になります https://t.co/aGfO7W8bg8,33
2021/12/14_18:31:42,過去写真picこんな顔もしてたね１日５コまでのツイートのRTがそのままポイントになります。ぜひご協力お願いします！これから毎日5個はツイートします🔥#MODECON #ミクチャ https://t.co/voQB2dsOpp,34
2021/12/14_07:35:52,RT @kotake_ayaka30: 3ヶ月間沢山の愛をありがとうございました！🙇‍♀️お礼配信は、明日(13日)の23時からさせていただきます！ https://t.co/ckUWHs4WCo,2
2021/12/13_23:33:19,RT @chiyo_mccakita: 応援してくださっている皆様へ🍀『昨日の事と今後について』少し長くなってしまいましたが、これが本当の私です笑お時間ある時に読んでいただけると嬉しいです😌数日間ミクチャを完全にお休みしようと思います！回復するまで少々お待ちください…,8
2021/12/13_12:58:50,モデコン札幌エントリー中！１日１回の投票が力になります！それとリツイート数×30ptなのでこの投稿のリツイートもよかったらお願いします！！！今日もみなさんが素敵な１日を過ごせますように！！#MODECON #ミクチャ https://t.co/LyMAKA8jM1,33
2021/12/07_22:59:56,モデコン札幌エントリー中です🔥リツイート×30ptなので投稿のリツイートお願いします🔥#ミクチャ #MODECON https://t.co/GOCc9rfv3b,50
2021/12/07_17:32:52,『モデコン札幌！投票お願いします🔥』 -ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,0
2021/12/07_12:02:58,『ごはん食べる』 -ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,0
2021/12/06_19:58:59,モデコン札幌に出場中のつっちーです！よかったら投稿のリツイートお願いします！#ミクチャ #MODECON https://t.co/luA8R0T6Ok,29
2021/12/03_10:28:21,RT @kotake_ayaka30: 🔥ファイナル期間🔥11/7 18:00~ 12/12 23:59:59上位7名がファッションショーへ👠審査対象✿ミクチャpt✿固定ツイートのRT×300pt✿最終日の投票絶対に大阪で歩きたい残り約1ヶ月力を貸していた…,365
